"distr","prob","Return","Q001-avg","Q003-avg","Q007-avg","Q015-avg","Q030-avg","Q060-avg","Q090-avg"
"PIII",0.01,100,2.417,2.492,2.552,2.647,2.773,3.262,3.71
"PIII",0.05,20,2.95,3.066,3.163,3.291,3.404,3.764,4.106
"PIII",0.1,10,3.25,3.384,3.5,3.646,3.76,4.061,4.369
"PIII",0.2,5,3.623,3.773,3.91,4.074,4.201,4.451,4.746
"PIII",0.5,2,4.349,4.507,4.671,4.861,5.057,5.296,5.701
"PIII",0.8,1.25,5.061,5.185,5.352,5.549,5.887,6.291,7.093
"PIII",0.9,1.111,5.415,5.502,5.661,5.854,6.296,6.879,8.068
"PIII",0.95,1.053,5.693,5.74,5.888,6.073,6.614,7.403,9.044
"PIII",0.975,1.026,5.922,5.929,6.062,6.24,6.875,7.888,10.045
"PIII",0.98,1.02,5.988,5.982,6.11,6.285,6.949,8.039,10.374
"PIII",0.99,1.01,6.172,6.126,6.24,6.406,7.157,8.49,11.427
